ID;expression1;expression2;sentence1;sentence2
het_768;brail;bail;She learned to read brail to navigate her books independently despite her blindness.;After paying the hefty fine, he was able to bail his friend out of jail.
het_1707;Inca;ink;The Inca built amazing stone structures in the Andes.;She spilled ink on her report while writing.
het_910;jab;job;The nurse had to jab the wound to administer the medicine.;She received a promotion at her job today.
hom_4;entrenched;entrenched;She was entrenched in her career, dedicating all her time to advancement.;The ditch digger became entrenched in the muddy trench, unable to move the heavy machinery.
hom_124;see it through;see it through;With the new transparent glass, you can see it through effortlessly.;He promised to see the renovation project through until completion.
hom_254;scratched;scratched;The race dogs were scratched from the competition due to their flea infestation.;The race dogs had to be scratched frequently to relieve their itching caused by fleas.
het_1465;Placido;placid;The lake was calm and placid this morning.;Placido Domingo is renowned for his powerful tenor voice.
hom_365;sleep on it;sleep on it;He decided to sleep on it before making his decision.;He chose to sleep on it on his new mattress that evening.
hom_1799; high volume; high volume; High volume manufacturers produce goods in large quantities.; The speakers have a high volume, making them loud.
hom_2057;stalling;stalling;The manager accused the employee of stalling to meet the deadline.;She was stalling in the washroom all morning.
het_716;manor;manner;The manor was built in the 18th century.;He spoke in a polite manner.
hom_1091;major;mayor;The company's major decision will impact its future.;The mayor of the city attended the conference.
het_10;Friesian;freezing;The Friesian is a beautiful breed of horse.;It's freezing outside during the winter.
het_1319;rapid;rapid;The train achieved a rapid speed during its journey.;The rafters had to navigate through a challenging rapid.
het_106;curs;cures;The animal shelter is full of curs that need homes.;Researchers are working on cures for the disease.
het_249;apatite;appetite;The geologist was studying apatite samples all day.;She has a good appetite and enjoys her meals.
hom_280;Infobahn;Autobahn;The company is investing in the Infobahn to improve digital communication.;We drove quickly on the Autobahn during our vacation.
hom_882;Brandy;Brandy;Brandy is a common first name in the United States.;He ordered a glass of Brandy at the bar.
hom_812; draw their last breath; draw their last breath; After battling the illness for years, he began to draw his last breath.; The artist chose to draw their last breath in the final panel of the comic series.
het_1679;lichen;liken;Lichen can be seen thriving on the rocky surfaces of mountains.;I often liken teamwork to the harmonious functioning of a well-oiled machine.
hom_400;fly;fly;A fly was buzzing around the picnic basket.;He forgot to zip up the fly on his trousers before the meeting.
het_1525;engraved;engraved;The epitaphs are engraved on the tombstones.;His memory was engraved in her mind.
het_653;beaux;bows;The debutante was surrounded by several beaux during the gala.;She tied beautiful bows around the sleeves of her gown.
het_1136;hopeless;hopless;She felt hopeless after hearing the bad news.;The kangaroo became hopless after its leg injury.
hom_149;register;register;It took him a while to register the new information.;The cashier placed the items in the register.
het_1351; worst; wurst; The weather today is the worst we've had all year.; We decided to grill some wurst for the barbecue.
het_1606;fuchsia;future;The gardener planted a vibrant fuchsia in her flower bed.;He decided to focus on his future rather than dwell on the past.
het_395;business;business;Please take care of your own business and let me handle mine.;She decided to start a new business in the tech industry.
hom_1314;breaking out;breaking out;The inmates are planning to break out of prison.;She tends to break out when she is under stress.
hom_1592;folded;folded;The company folded after several years of declining sales.;She folded the blanket neatly and placed it on the shelf.
hom_10;pin;pin;She used a pin to fasten the brooch to her jacket.;The investigators couldn't pin the theft on her without concrete evidence.
hom_1998;overcome;over come;She needs to overcome her fears.;They will over come to the party.
hom_678;grant;grant;She received a grant to support her research.;Grant is the new loan officer at the bank.
het_1094;whine;wine;She couldn't tolerate his constant whine during the meeting.;They decided to open a bottle of fine cabernet wine for dinner.
het_694;misconception;misconception;Many people have the misconception that pregnancy always results in severe morning sickness.;They were heartbroken by the misconception that led to their failed pregnancy.
hom_689;nagged;nagged;Tom nagged his friend about not following the rules.; The nagged trotted slowly across the field.
hom_1590;charges;charges;The library charges a fee for late book returns.;The bull charges anyone who enters the field.
het_1007;seasons greetings;seasonings greetings;We sent out seasons greetings to all our customers for the holiday.;The cookbook section titled seasonings greetings provided tips on enhancing flavors with various spices.
hom_999;sharp;sharp;He looked sharp in his new outfit.;The knife was extremely sharp.
